72					
4	2				
40.1	4.9	21	100	0	1
40.1	4.9	21	99	0	1
40	4.9	21	100	0	1
40	4.9	21	97	0	1
40	4.9	21	97	0	1
35	4.9	21	97	1	0
35	4.9	21	95	0	1
35	4.9	21	97	1	0
35	4.9	21	94	0	1
35	4.9	21	98	0	1
35	4.9	21	100	1	0
25	4.9	19	93	1	0
25	4.9	19	93	1	0
25	4.9	19	93	0	1
25	4.9	19	97	0	1
25	4.9	19	99	0	1
25	4.9	19	96	0	1
25	4.9	19	100	0	1
25	4.9	19	100	0	1
25	4.9	19	100	0	1
25	4.9	19	100	0	1
25	4.9	19	100	0	1
25	4.9	19	100	0	1
25	4.9	19	98	0	1
79	5.2	35	99	0	1
59	5.2	35	99	0	1
60	5.2	40	98	0	1
55	5.2	40	100	0	1
55	5.2	40	99	0	1
50	5.2	40	92	0	1
50	5.2	40	92	0	1
50	5.2	40	95	0	1
50	5	40	100	0	1
50	5.2	40	100	0	1
50	5.2	40	94	0	1
50	5.2	40	99	0	1
50	5.2	35	100	0	1
50	5.2	35	100	0	1
50	5.2	35	100	0	1
50	5.2	35	100	0	1
40	5.2	35	99	0	1
40	5	35	100	0	1
40	5	30	99	0	1
40	5	30	100	0	1
30	5	30	96	0	1
30	5	30	97	0	1
30	5	30	97	0	1
30	5	30	98	1	0
30	5	30	94	0	1
30	5	30	96	0	1
30	5	30	98	0	1
30	5	30	96	0	1
30	5	30	98	0	1
30	5	30	97	0	1
30	5	25	100	0	1
30	5	25	96	0	1
30	5	25	98	0	1
30	5	25	98	0	1
28	5	20	99	0	1
28	5	20	99	0	1
26	5	20	98	0	1
26	5	20	98	1	0
21	5	20	92	0	1
23	5	20	96	0	1
23	5	20	96	0	1
23	5	20	96	0	1
23	5	20	100	1	0
23	5	20	94	1	0
23	5	20	95	1	0
23	5	20	95	0	1
23	5	20	96	1	0
23	5	20	95	0	1
